Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","CMT-8504-100","MagneticBuzzer_CUI_CMT-8504-100-SMT",49.500000,14.000000,0.000000,top
"C1","100nF","C_0402_1005Metric",5.070000,21.900000,0.000000,top
"C2","10uF","C_0402_1005Metric",30.020000,33.550000,0.000000,top
"C3","1uF","C_0402_1005Metric",30.020000,34.500000,0.000000,top
"C4","100nF","C_0402_1005Metric",30.020000,35.450000,0.000000,top
"C5","100nF","C_0402_1005Metric",31.930000,32.234924,180.000000,top
"C6","100nF","C_0402_1005Metric",40.450000,25.250000,-90.000000,top
"C7","1uF","C_0402_1005Metric",39.500000,25.250000,-90.000000,top
"C8","100nF","C_0402_1005Metric",38.380000,25.250000,-90.000000,top
"C9","100uF","C_1206_3216Metric",3.000000,33.000000,180.000000,top
"C10","1uF","C_0402_1005Metric",31.950000,35.450000,0.000000,top
"C11","10nF","C_0402_1005Metric",31.950000,34.500000,0.000000,top
"C12","1uF","C_0402_1005Metric",45.200000,33.800000,-90.000000,top
"C13","1nF","C_0402_1005Metric",8.100000,13.350000,180.000000,top
"C14","100uF","C_1206_3216Metric",4.394924,14.800000,180.000000,top
"C15","100nF","C_0402_1005Metric",39.200000,36.700000,90.000000,top
"C16","1uF","C_0402_1005Metric",42.900000,30.980000,90.000000,top
"C17","100nF","C_0402_1005Metric",3.115000,21.900000,180.000000,top
"C18","43pF","C_0402_1005Metric",8.620000,14.800000,90.000000,top
"C19","1uF","C_0402_1005Metric",9.520000,21.950000,0.000000,top
"C20","8.2nF","C_0402_1005Metric",2.520000,20.780000,0.000000,top
"C21","100nF","C_0402_1005Metric",27.522500,39.172576,0.000000,top
"C22","10nF","C_0402_1005Metric",27.500000,27.760000,0.000000,top
"C23","10uF","C_0402_1005Metric",27.500000,26.810000,0.000000,top
"C24","10nF","C_0402_1005Metric",25.500000,30.010000,-90.000000,top
"C25","100nF","C_0402_1005Metric",25.752500,37.172576,90.000000,top
"C26","100uF","C_1206_3216Metric",11.600000,2.000000,0.000000,top
"C27","12pF","C_0402_1005Metric",32.950000,36.950000,90.000000,top
"C28","12pF","C_0402_1005Metric",38.130000,36.684924,-90.000000,top
"C29","100uF","C_1206_3216Metric",18.400000,2.000000,0.000000,top
"C30","100uF","C_1206_3216Metric",25.200000,2.000000,0.000000,top
"C31","100uF","C_1206_3216Metric",32.000000,2.000000,0.000000,top
"C32","1uF","C_0402_1005Metric",4.864924,16.450000,180.000000,top
"C33","1uF","C_0402_1005Metric",21.500000,29.500000,-90.000000,top
"C34","100nF","C_0402_1005Metric",30.550000,18.950000,180.000000,top
"D1","DFLS130L","D_PowerDI-123",45.930000,31.300000,180.000000,top
"D2","DFLS130L","D_PowerDI-123",51.150000,31.300000,0.000000,top
"D3","BAT54C","SOT-23",43.862500,36.650000,180.000000,top
"D4","BAT54C","SOT-23",42.250000,16.000000,180.000000,top
"D5","Power","LED_0603_1608Metric",53.000000,44.500000,180.000000,top
"D6","TX0","LED_0603_1608Metric",53.000000,43.000000,180.000000,top
"D7","RX0","LED_0603_1608Metric",53.000000,41.500000,180.000000,top
"D8","Action","LED_0603_1608Metric",53.000000,40.000000,180.000000,top
"J2","I2C","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",41.075000,41.550000,180.000000,top
"L1","2.2nH","L_0402_1005Metric",31.930000,33.184924,0.000000,top
"L2","1uH","L_APV_APH0630",6.644924,27.125000,-90.000000,top
"Q1","BC817-40","SOT-23",42.250000,19.500000,180.000000,top
"R1","470k","R_0402_1005Metric",8.100000,11.400000,0.000000,top
"R2","267k","R_0402_1005Metric",7.400000,21.900000,0.000000,top
"R3","118k","R_0402_1005Metric",8.100000,12.400000,0.000000,top
